pakiet,wersja,bezpośredni_odbiorcy_w_grafie
phf_codegen,0.10.0,markup5ever 0.11.0
phf_codegen,0.11.3,chrono-tz-build 0.2.1; jieba-rs 0.6.8
phf_generator,0.10.0,phf_codegen 0.10.0
phf_generator,0.11.3,phf_codegen 0.11.3; phf_macros 0.11.3; string_cache_codegen 0.5.4
phf_generator,0.13.1,phf_macros 0.13.1
phf_macros,0.11.3,phf 0.11.3
phf_macros,0.13.1,phf 0.13.1
phf_shared,0.10.0,phf 0.10.1; phf_codegen 0.10.0; phf_generator 0.10.0
phf_shared,0.11.3,mime_guess2 2.3.1; phf 0.11.3; phf_codegen 0.11.3; phf_generator 0.11.3; phf_macros 0.11.3; string_cache 0.8.9; string_cache_codegen 0.5.4
phf_shared,0.12.1,phf 0.12.1
phf_shared,0.13.1,phf 0.13.1; phf_generator 0.13.1; phf_macros 0.13.1
pkcs8,0.10.2,ed25519 2.2.3; elliptic-curve 0.13.8; pkcs1 0.7.5; rsa 0.9.10; sec1 0.7.3
pkcs8,0.11.0,ed25519 3.0.0
png,0.17.16,muda 0.15.3; tray-icon 0.19.3
png,0.18.1,image 0.25.10
prettyplease,0.1.25,rust-format 0.3.4
prettyplease,0.2.37,bindgen 0.69.5; bindgen 0.71.1; bindgen 0.72.1; bon-macros 3.9.3; cubecl-macros 0.10.0; prost-build 0.13.5; prost-build 0.14.4; tonic-build 0.13.1
proc-macro-crate,1.3.1,gtk3-macros 0.18.2
proc-macro-crate,2.0.2,glib-macros 0.18.5
proc-macro-crate,3.5.0,num_enum_derive 0.7.5; zbus_macros 5.19.0; zvariant_derive 5.15.0
prost,0.13.5,milvus-sdk-rust 0.1.0; prost-build 0.13.5; prost-types 0.13.5; tonic 0.13.1
prost,0.14.4,prost-build 0.14.4; prost-types 0.14.4; tentaflow-voice 0.1.0; tract-onnx 0.23.3
prost-build,0.13.5,tonic-build 0.13.1
prost-build,0.14.4,tentaflow-voice 0.1.0
prost-derive,0.13.5,prost 0.13.5
prost-derive,0.14.4,prost 0.14.4
prost-types,0.13.5,prost-build 0.13.5; tonic-build 0.13.1
prost-types,0.14.4,prost-build 0.14.4
quick-xml,0.36.2,tentaflow-core 0.1.0
quick-xml,0.39.2,calamine 0.35.0
quick-xml,0.41.0,wayland-scanner 0.31.11
quick-xml,0.42.0,plist 1.10.1
r-efi,5.3.0,getrandom 0.3.4
r-efi,6.0.0,getrandom 0.4.3
rand,0.10.1,burn-backend 0.21.0; burn-core 0.21.0; burn-ndarray 0.21.0; cubecl-common 0.10.0; cubek-random 0.2.0; hickory-net 0.26.1; hickory-proto 0.26.1; hickory-resolver 0.26.1; igd-next 0.17.0; iroh 1.1.0; iroh-base 1.1.0; iroh-dns 1.1.0; iroh-relay 1.1.0; n0-mainline 0.6.0; noq-proto 1.2.0; portmapper 0.19.3; rand_distr 0.6.0; smartcore 0.5.0; swarm-discovery 0.6.1; tentaflow-cli 0.1.0; tentaflow-core 0.1.0; tentaflow-hardware 0.1.0; tentaflow-quantum 0.1.0; tokio-websockets 0.13.2; tract-onnx-opl 0.23.3; uuid 1.23.3; wasmtime-wasi 46.0.0
rand,0.8.5,cozo 0.7.6; jsonwebtoken 10.4.0; num-bigint-dig 0.8.6; phf_generator 0.10.0; phf_generator 0.11.3; tch 0.22.0; twox-hash 1.6.3
rand,0.9.2,candle-core 0.10.2; dtls 0.17.1; float8 0.7.0; half 2.7.1; hf-hub 0.5.0; interceptor 0.17.1; quinn-proto 0.11.14; rand_distr 0.5.1; rav1e 0.8.1; rtp 0.17.1; sdp 0.17.1; stun 0.17.1; tokenizers 0.22.2; tokenizers 0.23.2; tungstenite 0.28.0; tungstenite 0.29.0; turn 0.17.1; webrtc 0.17.1; webrtc-ice 0.17.1; webrtc-media 0.17.1; webrtc-sctp 0.17.1; webrtc-util 0.17.1
rand_chacha,0.3.1,rand 0.8.5
rand_chacha,0.9.0,rand 0.9.2; rav1e 0.8.1
rand_core,0.10.1,chacha20 0.10.0; curve25519-dalek 5.0.0-rc.0; ed25519-dalek 3.0.0-rc.0; getrandom 0.4.3; rand 0.10.1; rand_pcg 0.10.2
rand_core,0.6.4,crypto-bigint 0.5.5; crypto-common 0.1.7; dtls 0.17.1; elliptic-curve 0.13.8; ff 0.13.1; group 0.13.0; password-hash 0.4.2; password-hash 0.5.0; rand 0.8.5; rand_chacha 0.3.1; rsa 0.9.10; signature 2.2.0; x25519-dalek 2.0.1
rand_core,0.9.5,rand 0.9.2; rand_chacha 0.9.0
rand_distr,0.5.1,candle-core 0.10.2; float8 0.7.0; half 2.7.1
rand_distr,0.6.0,burn-backend 0.21.0; tentaflow-core 0.1.0; tract-onnx-opl 0.23.3
rcgen,0.13.2,dtls 0.17.1; webrtc 0.17.1
rcgen,0.14.8,iroh-relay 1.1.0; tentaflow-core 0.1.0; tokio-rustls-acme 0.9.0
redox_syscall,0.2.16,parking_lot_core 0.8.6
redox_syscall,0.4.1,winit 0.30.13
redox_syscall,0.5.18,parking_lot_core 0.9.12
redox_syscall,0.7.4,libredox 0.1.14
redox_users,0.4.6,dirs-sys 0.4.1; dirs-sys-next 0.1.2
redox_users,0.5.2,dirs-sys 0.5.0
reqwest,0.12.28,hf-hub 0.5.0; tokio-rustls-acme 0.9.0; tracel-llvm-bundler 20.1.4-7
reqwest,0.13.3,chromiumoxide 0.9.1; forge-cli 0.1.0; forge-server 0.1.0; iroh 1.1.0; iroh-metrics 1.0.1; iroh-relay 1.1.0; tentaflow 0.1.0-beta; tentaflow-core 0.1.0; tentaflow-sidecar 0.1.0
rustc-hash,1.1.0,bindgen 0.69.5; cozo 0.7.6; dhat 0.3.3; naga 29.0.1; oq3_syntax 0.7.0; rowan 0.15.15; wgpu-core 29.0.1
rustc-hash,2.1.2,bindgen 0.71.1; bindgen 0.72.1; cranelift-codegen 0.133.0; fxprof-processed-profile 0.8.1; iroh 1.1.0; lsm-tree 3.1.5; noq 1.2.0; noq-proto 1.2.0; quinn 0.11.9; quinn-proto 0.11.14; regalloc2 0.15.1; tentaflow-bus 0.1.0; tentaflow-core 0.1.0; type-map 0.5.1
rustc_version,0.2.3,stdweb 0.4.20
rustc_version,0.4.1,acto 0.8.2; async_io_stream 0.3.3; crc32c 0.6.8; curve25519-dalek 4.1.3; curve25519-dalek 5.0.0-rc.0; derive_more-impl 2.1.1; field-offset 0.3.6; jni-macros 0.22.4; macerator 0.3.3; pharos 0.5.3; simd_cesu8 1.1.1; ws_stream_wasm 0.7.5
rustix,0.38.44,calloop 0.13.0; calloop-wayland-source 0.3.0; smithay-client-toolkit 0.19.2; which 4.4.2; winit 0.30.13
rustix,1.1.4,async-io 2.6.0; async-process 2.5.0; async-signal 0.2.14; calloop 0.14.4; calloop-wayland-source 0.4.1; cap-net-ext 3.4.5; cap-primitives 3.4.5; cap-std 3.4.5; cap-time-ext 3.4.5; fs-set-times 0.20.3; gethostname 1.1.0; memfd 0.6.5; polling 3.11.0; rustix-linux-procfs 0.1.1; smithay-client-toolkit 0.20.0; tempfile 3.27.0; wasmtime 46.0.0; wasmtime-internal-cache 46.0.0; wasmtime-internal-fiber 46.0.0; wasmtime-internal-jit-debug 46.0.0; wasmtime-wasi 46.0.0; wayland-backend 0.3.17; wayland-client 0.31.15; wayland-cursor 0.31.14; x11rb 0.13.2; xattr 1.6.1; zbus 5.19.0
safetensors,0.3.3,tch 0.22.0
safetensors,0.7.0,burn-store 0.21.0; candle-core 0.10.2; tract-nnef 0.23.3
semver,0.9.0,rustc_version 0.2.3
semver,1.0.28,rustc_version 0.4.1; tentaflow-core 0.1.0; wasmparser 0.251.0; wasmparser 0.252.0; wasmtime 46.0.0; wasmtime-environ 46.0.0; whisper-rs-sys 0.15.0; wit-parser 0.251.0
serde_spanned,0.6.9,toml 0.8.2; toml_edit 0.20.2
serde_spanned,1.1.1,toml 0.9.12+spec-1.1.0; toml 1.1.2+spec-1.1.0
sha1,0.10.6,dtls 0.17.1; tungstenite 0.28.0; tungstenite 0.29.0; webrtc-srtp 0.17.1; zip 0.6.6
sha1,0.11.0,iroh-relay 1.1.0; tentaflow-core 0.1.0; zip 8.6.0
sha1,0.6.1,stdweb-internal-macros 0.2.9
sha2,0.10.9,cozo 0.7.6; cranelift-codegen 0.133.0; dtls 0.17.1; ed25519-dalek 2.2.0; jsonwebtoken 10.4.0; lzma-rust2 0.16.2; p256 0.13.2; p384 0.13.1; pbkdf2 0.11.0; pest_meta 2.8.6; sherpa-rs-sys 0.6.8; tracel-llvm-bundler 20.1.4-7; wasmtime-environ 46.0.0; wasmtime-internal-cache 46.0.0; webrtc 0.17.1
sha2,0.11.0,ed25519-dalek 3.0.0-rc.0; forge-cli 0.1.0; forge-formats 0.1.0; forge-server 0.1.0; tentaflow 0.1.0-beta; tentaflow-cli 0.1.0; tentaflow-coding-agent-bridge 0.1.0; tentaflow-core 0.1.0
shlex,1.3.0,bindgen 0.69.5; bindgen 0.71.1; bindgen 0.72.1; cc 1.2.61
shlex,2.0.1,tentaflow-core 0.1.0
signature,2.2.0,ecdsa 0.16.9; ed25519 2.2.3; jsonwebtoken 10.4.0; rsa 0.9.10
signature,3.0.0,ed25519 3.0.0; ed25519-dalek 3.0.0-rc.0
siphasher,0.3.11,phf_shared 0.10.0
siphasher,1.0.3,phf_shared 0.11.3; phf_shared 0.12.1; phf_shared 0.13.1
smithay-client-toolkit,0.19.2,sctk-adwaita 0.10.1; winit 0.30.13
smithay-client-toolkit,0.20.0,smithay-clipboard 0.7.3
smol_str,0.1.24,acto 0.8.2
smol_str,0.2.2,oq3_syntax 0.7.0; webrtc 0.17.1; winit 0.30.13
socket2,0.5.10,tonic 0.13.1; webrtc-mdns 0.17.1
socket2,0.6.3,hyper-util 0.1.20; ipconfig 0.3.4; netwatch 0.19.3; noq 1.2.0; noq-udp 1.2.0; portmapper 0.19.3; quinn 0.11.9; quinn-udp 0.5.14; swarm-discovery 0.6.1; tokio 1.52.3
spin,0.10.0,burn-autodiff 0.21.0; burn-backend 0.21.0; burn-core 0.21.0; burn-cubecl-fusion 0.21.0; burn-fusion 0.21.0; burn-router 0.21.0; burn-std 0.21.0; cubecl-common 0.10.0; cubecl-runtime 0.10.0; cubecl-std 0.10.0; futures-buffered 0.2.13
spin,0.9.8,flume 0.12.0; lazy_static 1.5.0; multer 3.1.0; wasmi 1.1.0
spki,0.7.3,ecdsa 0.16.9; pkcs1 0.7.5; pkcs8 0.10.2; rsa 0.9.10
spki,0.8.0,pkcs8 0.11.0
string-interner,0.19.0,wasmi_collections 1.1.0
string-interner,0.20.0,tract-data 0.23.3
strum,0.24.1,milvus-sdk-rust 0.1.0
strum,0.28.0,iroh 1.1.0; iroh-dns 1.1.0; iroh-relay 1.1.0; onnx-ir 0.21.0
strum_macros,0.24.3,milvus-sdk-rust 0.1.0
strum_macros,0.28.0,strum 0.28.0
syn,1.0.109,boolenum 0.1.0; html5ever 0.26.0; prettyplease 0.1.25; proc-macro-error 1.0.4; rust-format 0.3.4; stdweb-derive 0.5.3; stdweb-internal-macros 0.2.9; strum_macros 0.24.3; time-macros-impl 0.1.2
syn,2.0.118,arg_enum_proc_macro 0.3.4; asn1-rs-derive 0.5.1; asn1-rs-derive 0.6.0; asn1-rs-impl 0.2.0; async-recursion 1.1.1; async-stream-impl 0.3.6; async-trait 0.1.89; bindgen 0.69.5; bindgen 0.71.1; bindgen 0.72.1; bon-macros 3.9.3; burn-derive 0.21.0; burn-onnx 0.21.0; bytecheck_derive 0.8.2; bytemuck_derive 1.10.2; casey 0.4.2; cbindgen 0.29.4; clap_derive 4.6.1; cubecl-macros 0.10.0; cubecl-macros-internal 0.10.0; curve25519-dalek-derive 0.1.1; darling_core 0.20.11; darling_core 0.21.3; darling_core 0.23.0; darling_macro 0.20.11; darling_macro 0.21.3; darling_macro 0.23.0; data-encoding-macro-internal 0.1.17; derive-new 0.7.0; derive_builder_core 0.20.2; derive_builder_macro 0.20.2; derive_more 0.99.20; derive_more-impl 2.1.1; displaydoc 0.2.5; enum-as-inner 0.6.1; enum-assoc 1.3.0; enum-map-derive 0.17.0; enum_dispatch 0.3.13; enumflags2_derive 0.7.12; enumset_derive 0.15.0; equator-macro 0.4.2; futures-macro 0.3.32; glib-macros 0.18.5; glib-macros 0.22.6; gltf-derive 1.4.1; gtk3-macros 0.18.2; interpolate_name 0.2.4; iroh-metrics-derive 1.0.1; jni-macros 0.22.4; jni-sys-macros 0.4.1; macerator-macros 0.1.5; miette-derive 5.10.0; minicbor-derive 0.19.4; monostate-impl 0.1.18; munge_macro 0.4.7; n0-error-macros 1.0.0; nalgebra-macros 0.3.0; num-derive 0.4.2; num_enum_derive 0.7.5; onnx-ir-derive 0.21.0; pest_generator 2.8.6; phf_macros 0.11.3; phf_macros 0.13.1; pin-project-internal 1.1.11; postcard-derive 0.2.2; prettyplease 0.2.37; profiling-procmacros 1.0.18; prost-build 0.13.5; prost-build 0.14.4; prost-derive 0.13.5; prost-derive 0.14.4; ptr_meta_derive 0.3.1; pulley-macros 46.0.0; rkyv_derive 0.8.16; serde_derive 1.0.228; serde_repr 0.1.20; spez 0.1.2; strum_macros 0.28.0; synstructure 0.13.2; tentaflow-macros 0.1.0; thiserror-impl 1.0.69; thiserror-impl 2.0.18; tokio-macros 2.7.0; tonic-build 0.13.1; tracel-mlir-rs-macros 20.1.4-7; tracing-attributes 0.1.31; variadics_please 1.1.0; wasm-bindgen-macro-support 0.2.125; wasm-bindgen-test-macro 0.3.75; wasmtime-internal-component-macro 46.0.0; wasmtime-internal-versioned-export-macros 46.0.0; wiggle-generate 46.0.0; wiggle-macro 46.0.0; windows-implement 0.60.2; windows-interface 0.59.3; yoke-derive 0.8.1; zbus-lockstep-macros 0.5.2; zerocopy-derive 0.8.42; zerofrom-derive 0.1.6; zeroize_derive 1.5.0; zerovec-derive 0.11.2
syn,3.0.5,foreign-types-macros 0.2.4; zbus_macros 5.19.0; zvariant_derive 5.15.0; zvariant_utils 4.2.0
sysinfo,0.38.4,cubecl-cpu 0.10.0
sysinfo,0.39.5,tentaflow-core 0.1.0
system-deps,6.2.2,atk-sys 0.18.2; cairo-sys-rs 0.18.2; gdk-pixbuf-sys 0.18.0; gdk-sys 0.18.2; gio-sys 0.18.1; glib-sys 0.18.1; gobject-sys 0.18.0; gtk-sys 0.18.2; pango-sys 0.18.0
system-deps,7.0.8,gio-sys 0.22.0; glib-sys 0.22.6; gobject-sys 0.22.6; gstreamer-app-sys 0.25.0; gstreamer-base-sys 0.25.0; gstreamer-sys 0.25.2; gstreamer-video-sys 0.25.3
target-lexicon,0.12.16,cfg-expr 0.15.8; cfg-expr 0.17.2
target-lexicon,0.13.5,cranelift-codegen 0.133.0; cranelift-frontend 0.133.0; cranelift-native 0.133.0; wasmtime 46.0.0; wasmtime-environ 46.0.0; wasmtime-internal-cranelift 46.0.0
thiserror,1.0.69,asn1-rs 0.6.2; cairo-rs 0.18.5; calloop 0.13.0; cel 0.13.0; cozo 0.7.6; dtls 0.17.1; filedescriptor 0.8.3; gio 0.18.4; glib 0.18.5; interceptor 0.17.1; jni 0.21.1; miette 5.10.0; milvus-sdk-rust 0.1.0; muda 0.15.3; ndk 0.9.0; protobuf 3.7.2; protobuf-codegen 3.7.2; protobuf-parse 3.7.2; protobuf-support 3.7.2; redox_users 0.4.6; rtcp 0.17.1; rtp 0.17.1; sdp 0.17.1; smithay-client-toolkit 0.19.2; stun 0.17.1; sysctl 0.6.0; tch 0.22.0; turn 0.17.1; webrtc 0.17.1; webrtc-data 0.17.1; webrtc-ice 0.17.1; webrtc-mdns 0.17.1; webrtc-media 0.17.1; webrtc-sctp 0.17.1; webrtc-srtp 0.17.1; webrtc-util 0.17.1; witx 0.9.1; x509-parser 0.16.0
thiserror,2.0.18,android-activity 0.6.1; asn1-rs 0.7.1; av-scenechange 0.14.1; bollard 0.21.0; burn-backend 0.21.0; burn-core 0.21.0; candle-core 0.10.2; chromiumoxide 0.9.1; cobs 0.3.0; cubecl-runtime 0.10.0; cubek-reduce 0.2.0; egui-wgpu 0.34.3; forge-hal 0.1.0; forge-kernels 0.1.0; forge-types 0.1.0; gpu-allocator 0.28.0; gstreamer 0.25.2; gstreamer-video 0.25.3; handlebars 6.4.2; hf-hub 0.5.0; hickory-net 0.26.1; hickory-proto 0.26.1; hickory-resolver 0.26.1; jni 0.22.4; naga 29.0.1; netlink-proto 0.12.0; noq 1.2.0; noq-proto 1.2.0; quinn 0.11.9; quinn-proto 0.11.14; rav1e 0.8.1; redox_users 0.5.2; rsqlite-vfs 0.1.0; rustls-cert-file-reader 0.4.2; rustls-cert-reloadable-resolver 0.7.1; simple_asn1 0.6.4; smithay-client-toolkit 0.20.0; swarm-discovery 0.6.1; tentaflow-bus 0.1.0; tentaflow-core 0.1.0; tentaflow-quantum 0.1.0; tentaflow-transport 0.1.0; tentaflow-voice 0.1.0; tentaflow-wrappers 0.1.0; tentaflow-zvec 0.1.0; tokenizers 0.22.2; tokenizers 0.23.2; tokio-rustls-acme 0.9.0; tracel-tblgen-rs 20.1.4-7; tracing-appender 0.2.5; tray-icon 0.19.3; tungstenite 0.28.0; tungstenite 0.29.0; wasmtime-internal-cranelift 46.0.0; wasmtime-wasi 46.0.0; wgpu-core 29.0.1; wgpu-hal 29.0.1; wiggle 46.0.0; wmi 0.18.4; ws_stream_wasm 0.7.5; x509-parser 0.18.1
thiserror-impl,1.0.69,thiserror 1.0.69
thiserror-impl,2.0.18,thiserror 2.0.18
time,0.2.27,lopdf 0.26.0; printpdf 0.3.4
time,0.3.47,asn1-rs 0.6.2; asn1-rs 0.7.1; cookie 0.18.1; cookie_store 0.22.1; iroh 1.1.0; iroh-relay 1.1.0; netwatch 0.19.3; plist 1.10.1; portmapper 0.19.3; rcgen 0.13.2; rcgen 0.14.8; simple_asn1 0.6.4; tokio-rustls-acme 0.9.0; tracing-appender 0.2.5; x509-parser 0.16.0; x509-parser 0.18.1; yasna 0.5.2; yasna 0.6.0; zip 0.6.6; zip 8.6.0
time-macros,0.1.1,time 0.2.27
time-macros,0.2.27,time 0.3.47
tokenizers,0.22.2,candle-core 0.10.2
tokenizers,0.23.2,forge-tokenize 0.1.0
toml,0.8.2,system-deps 6.2.2
toml,0.9.12+spec-1.1.0,cbindgen 0.29.4; wasmtime-internal-cache 46.0.0
toml,1.1.2+spec-1.1.0,cubecl-common 0.10.0; cubecl-runtime 0.10.0; iroh-relay 1.1.0; system-deps 7.0.8; tentaflow-core 0.1.0; tentaflow-sidecar 0.1.0; tentaflow-teams-bot 0.1.0; winresource 0.1.31
toml_datetime,0.6.3,proc-macro-crate 2.0.2; toml 0.8.2; toml_edit 0.19.15; toml_edit 0.20.2
toml_datetime,0.7.5+spec-1.1.0,toml 0.9.12+spec-1.1.0
toml_datetime,1.1.1+spec-1.1.0,toml 1.1.2+spec-1.1.0; toml_edit 0.25.4+spec-1.1.0
toml_edit,0.19.15,proc-macro-crate 1.3.1
toml_edit,0.20.2,proc-macro-crate 2.0.2; toml 0.8.2
toml_edit,0.25.4+spec-1.1.0,proc-macro-crate 3.5.0
tungstenite,0.28.0,async-tungstenite 0.32.1
tungstenite,0.29.0,tokio-tungstenite 0.29.0
twox-hash,1.6.3,cozo 0.7.6; lz4_flex 0.10.0
twox-hash,2.1.2,lz4_flex 0.13.1
unicode-width,0.1.14,ariadne 0.3.0; miette 5.10.0; textwrap 0.15.2
unicode-width,0.2.2,codespan-reporting 0.13.1; console 0.16.3; indicatif 0.18.4; wast 252.0.0
ureq,2.12.1,sherpa-rs-sys 0.6.8; torch-sys 0.22.0
ureq,3.3.0,hf-hub 0.5.0; ort 2.0.0-rc.12; ort-sys 2.0.0-rc.12; tentaflow-core 0.1.0
wasm-encoder,0.251.0,wasm-compose 0.251.0; wasmtime 46.0.0; wasmtime-environ 46.0.0
wasm-encoder,0.252.0,wast 252.0.0
wasm-streams,0.4.2,reqwest 0.12.28
wasm-streams,0.5.0,reqwest 0.13.3
wasmparser,0.239.0,wasmi 1.1.0
wasmparser,0.251.0,wasm-compose 0.251.0; wasm-encoder 0.251.0; wasmprinter 0.251.0; wasmtime 46.0.0; wasmtime-environ 46.0.0; wasmtime-internal-cranelift 46.0.0; wit-parser 0.251.0
wasmparser,0.252.0,wasm-encoder 0.252.0
wast,252.0.0,wat 1.252.0
wast,35.0.2,witx 0.9.1
webpki-roots,0.26.11,ureq 2.12.1
webpki-roots,1.0.7,hyper-rustls 0.27.7; iroh-relay 1.1.0; reqwest 0.12.28; tokio-rustls-acme 0.9.0; ureq 3.3.0; webpki-roots 0.26.11
which,4.4.2,bindgen 0.69.5; protobuf-parse 3.7.2
which,8.0.4,chromiumoxide 0.9.1; tentaflow-core 0.1.0
windows-sys,0.45.0,concolor-query 0.3.3; jni 0.21.1
windows-sys,0.48.0,dirs-sys 0.4.1
windows-sys,0.52.0,glutin 0.32.3; glutin_egl_sys 0.7.1; ring 0.17.14; socket2 0.5.10; winit 0.30.13
windows-sys,0.59.0,cap-fs-ext 3.4.5; cap-primitives 3.4.5; fs-set-times 0.20.3; io-extras 0.18.4; muda 0.15.3; rustix 0.38.44; tray-icon 0.19.3; winx 0.36.4
windows-sys,0.60.2,arboard 3.6.1; quinn-udp 0.5.14
windows-sys,0.61.2,anstyle-query 1.1.5; anstyle-wincon 3.0.11; async-io 2.6.0; async-signal 0.2.14; colored 3.1.1; console 0.16.3; ctrlc 3.5.2; dirs-sys 0.5.0; eframe 0.34.3; errno 0.3.14; gio-sys 0.22.0; hf-hub 0.5.0; home 0.5.12; ipconfig 0.3.4; is-terminal 0.4.17; mio 1.2.0; netdev 0.45.0; netdev 0.46.2; noq-udp 1.2.0; nu-ansi-term 0.50.3; polling 3.11.0; rustix 1.1.4; rustls-platform-verifier 0.7.0; schannel 0.1.29; seize 0.5.1; serial2 0.2.38; socket2 0.6.3; tempfile 3.27.0; tentaflow-core 0.1.0; tokio 1.52.3; uds_windows 1.2.1; wasmtime 46.0.0; wasmtime-internal-cache 46.0.0; wasmtime-internal-fiber 46.0.0; wasmtime-internal-jit-icache-coherence 46.0.0; wasmtime-wasi 46.0.0; winapi-util 0.1.11; winreg 0.56.0; zbus 5.19.0
windows-targets,0.42.2,windows-sys 0.45.0
windows-targets,0.48.5,windows-sys 0.48.0
windows-targets,0.52.6,windows-sys 0.52.0; windows-sys 0.59.0
windows-targets,0.53.5,windows-sys 0.60.2
windows_aarch64_gnullvm,0.42.2,windows-targets 0.42.2
windows_aarch64_gnullvm,0.48.5,windows-targets 0.48.5
windows_aarch64_gnullvm,0.52.6,windows-targets 0.52.6
windows_aarch64_gnullvm,0.53.1,windows-targets 0.53.5
windows_aarch64_msvc,0.42.2,windows-targets 0.42.2
windows_aarch64_msvc,0.48.5,windows-targets 0.48.5
windows_aarch64_msvc,0.52.6,windows-targets 0.52.6
windows_aarch64_msvc,0.53.1,windows-targets 0.53.5
windows_i686_gnu,0.42.2,windows-targets 0.42.2
windows_i686_gnu,0.48.5,windows-targets 0.48.5
windows_i686_gnu,0.52.6,windows-targets 0.52.6
windows_i686_gnu,0.53.1,windows-targets 0.53.5
windows_i686_gnullvm,0.52.6,windows-targets 0.52.6
windows_i686_gnullvm,0.53.1,windows-targets 0.53.5
windows_i686_msvc,0.42.2,windows-targets 0.42.2
windows_i686_msvc,0.48.5,windows-targets 0.48.5
windows_i686_msvc,0.52.6,windows-targets 0.52.6
windows_i686_msvc,0.53.1,windows-targets 0.53.5
windows_x86_64_gnu,0.42.2,windows-targets 0.42.2
windows_x86_64_gnu,0.48.5,windows-targets 0.48.5
windows_x86_64_gnu,0.52.6,windows-targets 0.52.6
windows_x86_64_gnu,0.53.1,windows-targets 0.53.5
windows_x86_64_gnullvm,0.42.2,windows-targets 0.42.2
windows_x86_64_gnullvm,0.48.5,windows-targets 0.48.5
windows_x86_64_gnullvm,0.52.6,windows-targets 0.52.6
windows_x86_64_gnullvm,0.53.1,windows-targets 0.53.5
windows_x86_64_msvc,0.42.2,windows-targets 0.42.2
windows_x86_64_msvc,0.48.5,windows-targets 0.48.5
windows_x86_64_msvc,0.52.6,windows-targets 0.52.6
windows_x86_64_msvc,0.53.1,windows-targets 0.53.5
winnow,0.5.40,toml_edit 0.19.15; toml_edit 0.20.2
winnow,0.7.15,toml 0.9.12+spec-1.1.0; toml_edit 0.25.4+spec-1.1.0
winnow,1.0.1,toml 1.1.2+spec-1.1.0; toml_parser 1.1.2+spec-1.1.0; zbus 5.19.0; zbus_names 4.3.4; zbus_xml 5.2.1; zvariant 5.15.0; zvariant_utils 4.2.0
winreg,0.10.1,portable-pty 0.9.0
winreg,0.56.0,tentaflow-core 0.1.0
x509-parser,0.16.0,dtls 0.17.1; rcgen 0.13.2
x509-parser,0.18.1,rcgen 0.14.8; tentaflow-core 0.1.0; tokio-rustls-acme 0.9.0
yasna,0.5.2,rcgen 0.13.2
yasna,0.6.0,rcgen 0.14.8
zip,0.6.6,tch 0.22.0; torch-sys 0.22.0
zip,7.2.0,calamine 0.35.0; candle-core 0.10.2
zip,8.6.0,burn-store 0.21.0; tentaflow-core 0.1.0
zstd,0.11.2+zstd.1.5.2,zip 0.6.6
zstd,0.13.3,tentaflow-core 0.1.0; wasmtime-internal-cache 46.0.0; zip 8.6.0
zstd-safe,5.0.2+zstd.1.5.2,zstd 0.11.2+zstd.1.5.2
zstd-safe,7.2.4,zstd 0.13.3
