pakiet,wersja,bezpośredni_odbiorcy_w_grafie
bzip2,0.6.1,zip 8.6.0
calloop,0.13.0,calloop-wayland-source 0.3.0; smithay-client-toolkit 0.19.2; winit 0.30.13
calloop,0.14.4,calloop-wayland-source 0.4.1; smithay-client-toolkit 0.20.0
calloop-wayland-source,0.3.0,smithay-client-toolkit 0.19.2
calloop-wayland-source,0.4.1,smithay-client-toolkit 0.20.0
cfg-expr,0.15.8,system-deps 6.2.2
cfg-expr,0.17.2,system-deps 7.0.8
cfg_aliases,0.1.1,nix 0.28.0
cfg_aliases,0.2.2,cubecl-common 0.10.0; cubecl-runtime 0.10.0; cubecl-wgpu 0.10.0; glutin 0.32.3; glutin-winit 0.5.0; iroh 1.1.0; iroh-dns 1.1.0; iroh-relay 1.1.0; macerator 0.3.3; n0-future 0.3.2; naga 29.0.1; netwatch 0.19.3; nix 0.31.3; noq 1.2.0; noq-udp 1.2.0; quinn 0.11.9; quinn-udp 0.5.14; wgpu 29.0.3; wgpu-core 29.0.1; wgpu-hal 29.0.1; winit 0.30.13
chacha20,0.10.0,rand 0.10.1
chacha20,0.9.1,chacha20poly1305 0.10.1
chrono-tz,0.10.4,tentaflow-core 0.1.0
chrono-tz,0.8.6,cozo 0.7.6
cipher,0.4.4,aes 0.8.4; aes-gcm 0.10.3; cbc 0.1.2; ccm 0.5.0; chacha20 0.9.1; chacha20poly1305 0.10.1; ctr 0.9.2
cipher,0.5.2,aes 0.9.1; ecb 0.2.0
const-oid,0.10.2,der 0.8.0; digest 0.11.2
const-oid,0.9.6,der 0.7.10; digest 0.10.7; rsa 0.9.10
constant_time_eq,0.1.5,zip 0.6.6
constant_time_eq,0.4.2,blake3 1.8.5; zip 8.6.0
convert_case,0.10.0,derive_more-impl 2.1.1
convert_case,0.8.0,tracel-mlir-rs-macros 20.1.4-7
core-foundation,0.10.1,rustls-platform-verifier 0.7.0; security-framework 3.7.0; tentaflow-core 0.1.0
core-foundation,0.9.4,core-graphics 0.23.2; core-graphics-types 0.1.3; system-configuration 0.7.0; winit 0.30.13
cpufeatures,0.2.17,aes 0.8.4; argon2 0.5.3; chacha20 0.9.1; curve25519-dalek 4.1.3; poly1305 0.8.0; polyval 0.6.2; sha1 0.10.6; sha2 0.10.9
cpufeatures,0.3.0,aes 0.9.1; blake3 1.8.5; chacha20 0.10.0; curve25519-dalek 5.0.0-rc.0; sha1 0.11.0; sha2 0.11.0
crypto-common,0.1.7,aead 0.5.2; cipher 0.4.4; digest 0.10.7; universal-hash 0.5.1
